,user_name,user_location,user_description,user_verified,date,text,hashtags,source,cleaned_text
0,MarkWil41449149,,Music 🎼 lovin Ape! Fighting for a fair market and love the Movies 🍿 #AMC and fu©k the 1% New account I got banned for telling the truth 🤷🏼‍♂️,False,2022-04-19 20:55:53+00:00,I’ll buy quite a few I love #Tesla and I like @elonmusk a lot https://t.co/HghW2Mq2WN,,Twitter for iPhone,I’ll buy quite a few I love #Tesla and I like a lot https://t.co/HghW2Mq2WN
1,bitswift_tech,,Enriching lives through technology ™,False,2022-04-19 20:55:47+00:00,#Tesla and #Bitswift service vehicles.  Thanks to Jon for the excellent service. https://t.co/FoEhDKkPIO,,Twitter Web App,#Tesla and #Bitswift service vehicles. Thanks to Jon for the excellent service. https://t.co/FoEhDKkPIO
2,John_Inubook,,"$Doge - NFT CREATOR - live within the truth - https://t.co/hGQpX2SLC9 - #AcceptDOGE using @BitPay  - 
D5roseooqHnkMCh9zFpcLk5erEiqEtm1Pd",False,2022-04-19 20:55:46+00:00,RT @HODLdogeNOTdebt: #dogecoin #tesla 🤙🏻 https://t.co/Ltg1S454MM,,Twitter Web App,RT : #dogecoin #tesla 🤙🏻 https://t.co/Ltg1S454MM
3,leonrvs,,"Successful Familyman and tripple grandpa, F1 addicted sinds '70...being critical is a not way of life, but a way to survive…",False,2022-04-19 20:55:39+00:00,"Pff..... wat er schande, met andere woorden Tesla is verantwoordelijk voor kindersterfte in Congo #Tesla #kindersterfte #kinderarbeid https://t.co/uvZFcwhBvd",,Twitter for iPhone,"Pff..... wat er schande, met andere woorden Tesla is verantwoordelijk voor kindersterfte in Congo #Tesla #kindersterfte #kinderarbeid https://t.co/uvZFcwhBvd"
4,silvers44502073,,Super Bad Genesis Seed #635 Viral NFT check it out https://t.co/QlvoeP1Hif XRP XDC SGB SOLO FLR ADA EXFI SFIN ☀️☀️XRDOGE DEX MEME,False,2022-04-19 20:55:12+00:00,"RT @StraightUpXRP: #Tesla settled with @SECGov on September 29, 2018.

$TSLA stock started going parabolic January 2020. 

Don't be surpris…",,Twitter for iPhone,"RT : #Tesla settled with on September 29, 2018.

$TSLA stock started going parabolic January 2020. 

Don't be surpris…"
5,jd_average,,Tesla fan. Husband. Father. Veteran. FSD Beta Tester. $TSLA 🪑 hodler. #TeslaSushiMafia (Club) 🍣 proud Shih Tzu owner,False,2022-04-19 20:55:04+00:00,"Was told to Tweet as #FrunkPuppyFriday pic. Please don't hurt me! 🤣 @28delayslater @elonmusk  @MFrunker 
#Tesla #TeslaModel3 #FrunkPuppy https://t.co/qtFmNFpT5z",,Twitter for Android,"Was told to Tweet as #FrunkPuppyFriday pic. Please don't hurt me! 🤣 
#Tesla #TeslaModel3 #FrunkPuppy https://t.co/qtFmNFpT5z"
6,MrSmithsTesla,,"Electric vehicle driver in Colorado. Skier, camper, home chef & dog parent.",False,2022-04-19 20:54:25+00:00,Wow! I just saved 60% on car insurance in about 5 minutes by switching to Tesla Insurance. I’m not joking. 👍 #Tesla @elonmusk,,Twitter for iPhone,Wow! I just saved 60% on car insurance in about 5 minutes by switching to Tesla Insurance. I’m not joking. 👍 #Tesla 
7,Hiro31366360,,"宣伝応援もしちゃうよ〜🌈Hawaiiが大好き❤
株式投資初心者の為のLINEオープンチャットオーナー。現在メンバー2600人〜Amazonメルカリでの出品も開始したよ～ @mercarishops で販売中！
https://t.co/7RSy4ak9LW",False,2022-04-19 20:54:08+00:00,"RT @kanayamafes2019: 全国のテスラオーナー必見‼️
14日(土)開催のスーパーサミットは
テスラ車100台以上が集まる、日本最大級のイベント‼️

全国津々浦々のオーナーが、名古屋に大集結🤗
ゲストを招いてのトークショーなど
様々な企画も予定しています✨…",,Twitter for Android,"RT : 全国のテスラオーナー必見‼️
14日(土)開催のスーパーサミットは
テスラ車100台以上が集まる、日本最大級のイベント‼️

全国津々浦々のオーナーが、名古屋に大集結🤗
ゲストを招いてのトークショーなど
様々な企画も予定しています✨…"
8,MsJonesey,,,False,2022-04-19 20:53:40+00:00,"@TMobile @Tesla T, T and T go hand in hand! Let’s go! #teacherhere #tmoblietueaday #Tesla",,Twitter for iPhone," T, T and T go hand in hand! Let’s go! #teacherhere #tmoblietueaday #Tesla"
9,natmoonrah,,"Safemoon @EnhanceToken SES Squadron Member |
Cryptojunkie 🕉 Soul Jockey🚀🚀🚀🌕",False,2022-04-19 20:53:38+00:00,RT @SFMTruthSauce: @decent_deano @SafeMoonAce @EnhancedApes @DefeaterOfFiat @HelloEnhance @SFMoon_GOTTI @Audrabrooke1 @EnhanceToken @Enhanc…,,Twitter for Android,RT : …
